"index","sourcetype","main_type","perf_item","nmon_section","unity","description","long_description","formula (or field name if not evaluated)","is_evaluated","OS_compatibility","AIX","Linux","Solaris","SPL root search"
"index=nmon","sourcetype=nmon_config","Configuration Data","CONFIGURATION DATA","AAA","various","Configuration Extraction (AAA section)","AAA section of Nmon, contains many useful configuration information about systems","various","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_config"
"index=nmon","sourcetype=nmon_config","Configuration Data","CONFIGURATION DATA","BBB","various","Configuration Extraction (BBB sections)","BBB section of Nmon, contains many useful configuration information about systems","various","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_config"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_collect","Application Internal Processing","APPLICATION INTERNAL","collect","various","Nmon raw Data Generation","nmon_helper.sh shell script output, this scripts is responsible for Nmon raw data generation","various","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_collect"
"index=nmon","sourcetype=nmon_processing","Application Internal Processing","APPLICATION INTERNAL","processing","various","Nmon raw Data Processing ","nmon2csv Python / Perl scripts output, reponsible of Nmon raw data conversion into csv files consummed by Splunk","various","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_processing"
"index=nmon","sourcetype=nmon_clean","Application Internal Processing","APPLICATION INTERNAL","clean","various","Nmon Cleaning Operations","nmon_cleaner Python / Perl scripts, removing of Nmon raw files and csv data cleaning","various","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_clean"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPU_ALL","%","cpu_PCT : CPU percentage usage","cpu_PCT : Percentage of CPU system load for all available cores (sum of Sys, User and Wait CPU percentage items)","cpu_PCT=round((Sys_PCT+User_PCT+Wait_PCT),2)","true","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPU_ALL","%","Idle_PCT : CPU percentage free (Idle)","Idle_PCT : Percentage of CPU time free, meaning not having task to do","Idle_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPU_ALL","%","Sys_PCT : CPU percentage in kernel mode (Sys)","Sys_PCT : Percentage of CPU time spent in kernel mode","Sys_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPU_ALL","%","User_PCT : CPU percentage in user mode (User)","User_PCT : Percentage of CPU time spent in user mode","User_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPU_ALL","%","Wait_PCT : CPU percentage waiting for resources (Wait)","Wait_PCT : Percentage of CPU time spent in waiting for resources","Wait_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPUnn","%","cpu_PCT : CPU percentage usage","cpu_PCT : Percentage of CPU system load per logical core (sum of Sys, User and Wait CPU percentage items)","cpu_PCT=round((Sys_PCT+User_PCT+Wait_PCT),2)","true","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data (type=CPU* NOT type=CPU_ALL)"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPUnn","%","Idle_PCT : CPU percentage free (Idle)","Idle_PCT : Percentage of logical core CPU time free, meaning not having task to do","Idle_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data (type=CPU* NOT type=CPU_ALL)"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPUnn","%","Sys_PCT : CPU percentage in kernel mode (Sys)","Sys_PCT : Percentage of logical core CPU time spent in kernel mode","Sys_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data (type=CPU* NOT type=CPU_ALL)"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPUnn","%","User_PCT : CPU percentage in user mode (User)","User_PCT : Percentage of logical core CPU time spent in user mode","User_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data (type=CPU* NOT type=CPU_ALL)"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","CPUnn","%","Wait_PCT : CPU percentage waiting for resources (Wait)","Wait_PCT : Percentage of logical core CPU time spent in waiting for resources","Wait_PCT","false","ALL OS","true","true","true","eventtype=nmon:performance sourcetype=nmon_data (type=CPU* NOT type=CPU_ALL)"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Nbr","entitled: Entitled capacity of the partition","entitled: Entitled capacity of the partition","entitled","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Nbr","virtualCPUs: Number of virtual processors in the LPAR definition","virtualCPUs: Number of virtual processors in the LPAR definition","virtualCPUs","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","EC CPU percentage free (Idle)","Percentage of CPU time free, meaning not having task to do","EC_Idle_PCT","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","EC CPU percentage in kernel mode (Sys)","Percentage of CPU time spent in kernel mode","EC_Sys_PCT","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","EC CPU percentage in user mode (User)","Percentage of CPU time spent in user mode","EC_User_PCT","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","EC CPU percentage waiting for resources (Wait)","Percentage of CPU time spent in waiting for resources","EC_Wait_PCT","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","Viirtual Processors (VP)","EC Global Usage (for shared lpars)","Global CPU usage of shared lpars, calculated over EC (not applicable for dedicated partitions)","lpar_ec_usage=round(((EC_User_PCT+EC_Sys_PCT+EC_Wait_PCT+EC_Idle_PCT)*entitled/100),2)","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","EC Global Usage in percentage (for shared lpars","Global CPU capacity usage of shared lpars, calculated over EC (not applicable for dedicated partitions)","lpar_ec_PCT_usage=round((((EC_User_PCT+EC_Sys_PCT+EC_Wait_PCT+EC_Idle_PCT)*entitled)/virtualCPUs),2)","true","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","VP CPU percentage free (Idle)","Percentage of CPU time free, meaning not having task to do","VP_Idle_PCT","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
"index=nmon","sourcetype=nmon_data","Performance Data","CPU USAGE STATISTICS","LPAR","%","VP CPU percentage in kernel mode (Sys)","Percentage of CPU time spent in kernel mode","VP_Sys_PCT","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX"
