hostname,OStype,"AIX_Machine_SerialNumber","AIX_virtualcpus","AIX_logicalcores","AIX_entitled","AIX_LEVEL","AIX_processor_mode","AIX_processor_clockspeed","AIX_cpu_type","AIX_kernel_type","AIX_plateform_firmware_level","AIX_PoolID","AIX_system_installed_CPUs","AIX_system_active_CPUs","AIX_PoolCPUs","AIX_memory_MB","AIX_pagingspace_MB","Linux_memory_MB","Linux_swap_MB","Linux_distribution","Linux_vendor","Linux_kernelversion","Solaris_version","Solaris_sunOS_version","Solaris_processor_clockspeed","Solaris_physical_memory_MB",Processor,"cpu_cores","nmon_version","uptime_seconds","uptime_duration","system_startup_date","reporting_date",OSversion,"Physical_mem_MB","Virtual_mem_MB"
GBH0005A,AIX,0604AF7,1,4,"0.10","6.1.9.16","POWER 7","3304 MHz","64-bit","64-bit","AM770_090",0,64,10,10,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",14086800,"163+01:00:00","01/17/2016 23:00","06/19/2016 00:00","6.1.9.16",4096,4096
GEB00506,Solaris,,,"",,,,,,,,,,,,,,,,"                       Solaris 10 5/09 s10s_u7wos_08 SPARC",Undeterminated,,"Solaris 10 5/09 s10s_u7wos_08 SPARC","5.10","1165 MHz",32544,"UltraSPARC-T2+ ",128,"1.10 64-bit",,,,"06/19/2016 00:01","Solaris 10 5/09 s10s_u7wos_08 SPARC",32544,"N/A"
GPE00523,AIX,02D5665,4,8,"0.60","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER6","4 / 8","TOPAS-NMON",26787600,"310+01:00:00","08/24/2015 00:00","06/19/2016 00:00","6.1.9.16",4096,4096
GPH0003A,AIX,06FB02P,1,4,"0.10","6.1.9.16","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,36,36,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",43808400,"507+01:00:00","02/07/2015 23:00","06/19/2016 00:00","6.1.9.16",4096,4096
GPH00572,AIX,8373484,1,2,"0.40","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,6144,1536,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",41734800,"483+01:00:00","03/03/2015 23:00","06/19/2016 00:00","6.1.9.16",6144,1536
GPH00573,AIX,8373484,1,2,"0.40","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,6144,1536,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",41734800,"483+01:00:00","03/03/2015 23:00","06/19/2016 00:00","6.1.9.16",6144,1536
GPH03B01,AIX,650988C,2,4,"0.90","6.1.9.16","POWER 5","1654 MHz","64-bit","64-bit","SF240_418",0,16,12,12,3072,4096,,,,Undeterminated,,,,,,"PowerPC_POWER5","2 / 4","TOPAS-NMON",28688400,"332+01:00:00","08/02/2015 00:00","06/19/2016 00:00","6.1.9.16",3072,4096
GPY0EA01,Linux,,,"",,,,,,,,,,,,,,5849,512,"Red Hat Enterprise Linux Server release 6.1 (Santiago)",Undeterminated,"2.6",,,,,"Intel(R) Xeon(R) CPU           X5560  @ 2.80GHz",4,14g,22899600,"265+01:00:00","10/08/2015 00:00","06/25/2016 00:00","Red Hat Enterprise Linux Server release 6.1 (Santiago)",5849,512
GQE00551,AIX,65F4774,1,2,"0.10","6.1.9.16","POWER 6","4400 MHz","64-bit","64-bit","EM350_166",0,16,16,16,4096,4096,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",46141200,"534+01:00:00","01/11/2015 23:00","06/19/2016 00:00","6.1.9.16",4096,4096
GRE09901,AIX,838DAC5,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,58,58,2048,1536,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",3459600,"40+01:00:00","05/20/2016 00:00","06/19/2016 00:00","6.1.9.16",2048,1536
