AIX,Linux,"OS_compatibility","SPL root search",Solaris,description,"formula (or field name if not evaluated)","is_evaluated","long_description","main_type","nmon_section","perf_item",sourcetype,unity
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_config",true,"Configuration Extraction (AAA section)",various,false,"AAA section of Nmon, contains many useful configuration information about systems","Configuration Data",AAA,"CONFIGURATION DATA","sourcetype=nmon_config",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_config",true,"Configuration Extraction (BBB sections)",various,false,"BBB section of Nmon, contains many useful configuration information about systems","Configuration Data",BBB,"CONFIGURATION DATA","sourcetype=nmon_config",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_collect",true,"Nmon raw Data Generation",various,false,"nmon_helper.sh shell script output, this scripts is responsible for Nmon raw data generation","Application Internal Processing",collect,"APPLICATION INTERNAL","sourcetype=nmon_collect",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_processing",true,"Nmon raw Data Processing ",various,false,"nmon2csv Python / Perl scripts output, reponsible of Nmon raw data conversion into csv files consummed by Splunk","Application Internal Processing",processing,"APPLICATION INTERNAL","sourcetype=nmon_processing",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_clean",true,"Nmon Cleaning Operations",various,false,"nmon_cleaner Python / Perl scripts, removing of Nmon raw files and csv data cleaning","Application Internal Processing",clean,"APPLICATION INTERNAL","sourcetype=nmon_clean",various
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL",true,"cpu_PCT : CPU percentage usage","cpu_PCT=round((Sys_PCT+User_PCT+Wait_PCT),2)",true,"cpu_PCT : Percentage of CPU system load for all available cores (sum of Sys, User and Wait CPU percentage items)","Performance Data","CPU_ALL","CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL",true,"Idle_PCT : CPU percentage free (Idle)","Idle_PCT",false,"Idle_PCT : Percentage of CPU time free, meaning not having task to do","Performance Data","CPU_ALL","CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL",true,"Sys_PCT : CPU percentage in kernel mode (Sys)","Sys_PCT",false,"Sys_PCT : Percentage of CPU time spent in kernel mode","Performance Data","CPU_ALL","CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL",true,"User_PCT : CPU percentage in user mode (User)","User_PCT",false,"User_PCT : Percentage of CPU time spent in user mode","Performance Data","CPU_ALL","CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=CPU_ALL",true,"Wait_PCT : CPU percentage waiting for resources (Wait)","Wait_PCT",false,"Wait_PCT : Percentage of CPU time spent in waiting for resources","Performance Data","CPU_ALL","CPU USAGE STATISTICS","sourcetype=nmon_data","%"
