metric_name,metric_label,is_AIX,is_Linux,is_Solaris,metric_category,metric_has_device,metric_device_field,metric_unit,metric_volume_unit_choice,metric_dimension_filter,metric_value_field,metric_dm,metric_dm_node,metric_dm_prefix
cpu.cpu_all.cpu_load_percent,CPU_ALL (% cpu usage),TRUE,TRUE,TRUE,cpu,FALSE,,pct,FALSE,type=CPU_ALL,cpu_load_percent,,,
cpu.cpu_all.cpu_user_percent,CPU_ALL (% user usage),TRUE,TRUE,TRUE,cpu,FALSE,,pct,FALSE,type=CPU_ALL,cpu_user_percent,,,
cpu.cpu_all.cpu_wait_percent,CPU_ALL (% wait usage),TRUE,TRUE,TRUE,cpu,FALSE,,pct,FALSE,type=CPU_ALL,cpu_wait_percent,,,
cpu.cpu_all.cpu_sys_percent,CPU_ALL (% sys usage),TRUE,TRUE,TRUE,cpu,FALSE,,pct,FALSE,type=CPU_ALL,cpu_sys_percent,,,
,,,,,,,,,,,,,,
cpu.lpar.lpar_vp_usage,LPAR (partition vCPUs usage),TRUE,FALSE,FALSE,cpu,FALSE,,cores,FALSE,type=LPAR,lpar_vp_usage,,,
cpu.lpar.lpar_pool_vp_usage,LPAR (pool vCPUs usage),TRUE,FALSE,FALSE,cpu,FALSE,,cores,FALSE,type=LPAR,lpar_pool_vp_usage,,,
,,,,,,,,,,,,,,
cpu.pools.pool_vp_usage,POOLS (pool vCPUs usage),TRUE,FALSE,FALSE,cpu,FALSE,,cores,FALSE,type=POOLS,pool_vp_usage,,,
,,,,,,,,,,,,,,
cpu.uptime.load_average_1min,Load average (1 minute),TRUE,TRUE,TRUE,cpu,FALSE,,cores,FALSE,type=UPTIME,load_average_1min,,,
cpu.uptime.load_average_5min,Load average (5 minutes),TRUE,TRUE,TRUE,cpu,FALSE,,cores,FALSE,type=UPTIME,load_average_5min,,,
cpu.uptime.load_average_15min,Load average (15 minutes),TRUE,TRUE,TRUE,cpu,FALSE,,cores,FALSE,type=UPTIME,load_average_15min,,,
,,,,,,,,,,,,,,
memory.mem.mem_used_effective_percent,MEM (% physical memory usage),TRUE,TRUE,TRUE,memory,FALSE,,pct,FALSE,type=MEM,mem_used_effective_PCT,,,
