metric_name,metric_label,is_AIX,is_Linux,is_Solaris,metric_category,metric_has_device,metric_device_field,metric_unit,metric_volume_unit_choice,metric_dimension_filter,metric_value_field,metric_dm,metric_dm_node,metric_dm_prefix
cpu.cpu_all.cpu_load_percent,CPU_ALL (% cpu usage),TRUE,TRUE,TRUE,cpu,FALSE,,pct,FALSE,type=CPU_ALL,cpu_load_percent,,,
cpu.lpar.lpar_vp_usage,LPAR (partition vCPUs usage),TRUE,FALSE,FALSE,cpu,FALSE,,cores,FALSE,type=LPAR,lpar_vp_usage,,,
cpu.lpar.lpar_pool_vp_usage,LPAR (pool vCPUs usage),TRUE,FALSE,FALSE,cpu,FALSE,,cores,FALSE,type=LPAR,lpar_pool_vp_usage,,,
cpu.pools.pool_vp_usage,POOLS (pool vCPUs usage),TRUE,FALSE,FALSE,cpu,FALSE,,cores,FALSE,type=POOLS,pool_vp_usage,,,
memory.mem.mem_used_effective_PCT,MEM (% physical memory usage),TRUE,TRUE,TRUE,memory,FALSE,,pct,FALSE,type=MEM,mem_used_effective_PCT,,,
memory.mem.mem_used_effective,MEM (MB physical memory usage),TRUE,TRUE,TRUE,memory,FALSE,,MB,FALSE,type=MEM,mem_used_effective,,,
memory.mem.swap_used_effective_PCT,MEM swap (% virtual memory usage),TRUE,TRUE,TRUE,memory,FALSE,,pct,FALSE,type=MEM,swap_used_effective_PCT,,,
memory.mem.swap_used_effective,MEM swap (MB virtual memory usage),TRUE,TRUE,TRUE,memory,FALSE,,MB,FALSE,type=MEM,swap_used_effective,,,
storage.df_storage.storage_used,DF_STORAGE (per file system volume used),TRUE,TRUE,TRUE,storage,TRUE,mount,various,TRUE,type=DF_STORAGE,storage_used,NMON_Data_JFS,JFS.DF_STORAGE,JFS
storage.dgxfer.iops,DGXFER (IO per sec),FALSE,TRUE,FALSE,storage,FALSE,,IOPS,FALSE,type=DGXFER,total_ops,,,
storage.diskxfer.iops,DISKXFER (IO per sec at device),TRUE,TRUE,TRUE,storage,FALSE,,IOPS,FALSE,type=DISKXFER,value,,,
network.inbound.Kbsec,NETWORK (Inbound traffic KB/sec),TRUE,TRUE,TRUE,network,FALSE,,Kbs,FALSE,type=NET direction=inbound,value,,,
network.outbound.Kbsec,NETWORK (Outbound traffic KB/sec),TRUE,TRUE,TRUE,network,FALSE,,Kbs,FALSE,type=NET direction=outbound,value,,,
